adjuster_id,employee_id,first_name,last_name,email,phone,license_number,license_state,specializations,hire_date,status,home_office_id,supervisor_email,max_active_claims
ADJ33809586,EMP30643695,Adj0,Smith,adjuster0@corp.com,555-9199,LIC48347916,WA,Property,2019-02-15,Active,OFF66110746,supervisor@corp.com,61
ADJ33536064,EMP47830490,Adj1,Smith,adjuster1@corp.com,555-7344,LIC15355041,CA,Auto,2025-07-25,Inactive,OFF84143939,supervisor@corp.com,72
ADJ94690655,EMP27163752,Adj2,Smith,adjuster2@corp.com,555-4908,LIC35462782,MA,Property,2002-06-14,Active,OFF55506605,supervisor@corp.com,56
ADJ38078094,EMP71915199,Adj3,Smith,adjuster3@corp.com,555-8931,LIC03512744,CA,Property,2005-05-13,Active,OFF75820469,supervisor@corp.com,25
ADJ63048665,EMP75923654,Adj4,Smith,adjuster4@corp.com,555-9179,LIC30684792,CA,Fraud,2014-01-07,Active,OFF28257518,supervisor@corp.com,38
ADJ49586052,EMP02021549,Adj5,Smith,adjuster5@corp.com,555-3453,LIC15398359,TX,Auto,2018-08-19,Active,OFF23480267,supervisor@corp.com,33
ADJ64226655,EMP24963973,Adj6,Smith,adjuster6@corp.com,555-7877,LIC78605425,WA,Fraud,2020-12-18,Active,OFF82447399,supervisor@corp.com,74
ADJ93905436,EMP36052228,Adj7,Smith,adjuster7@corp.com,555-8124,LIC06640071,IL,Fraud,2017-06-06,Active,OFF47064433,supervisor@corp.com,27
ADJ40774081,EMP88127807,Adj8,Smith,adjuster8@corp.com,555-1448,LIC34659352,NY,Fraud,2006-01-30,Active,OFF20891490,supervisor@corp.com,13
ADJ24459420,EMP69134882,Adj9,Smith,adjuster9@corp.com,555-2929,LIC70002358,NY,Auto,2013-07-31,Inactive,OFF33357051,supervisor@corp.com,95
ADJ63622428,EMP82312788,Adj10,Smith,adjuster10@corp.com,555-6374,LIC04201284,IL,Fraud,2019-05-22,Active,OFF11937258,supervisor@corp.com,33
ADJ50210450,EMP15064198,Adj11,Smith,adjuster11@corp.com,555-1046,LIC24860864,MA,Fraud,2024-09-09,Active,OFF41102014,supervisor@corp.com,91
ADJ53037525,EMP82855169,Adj12,Smith,adjuster12@corp.com,555-1998,LIC75549796,IL,Fraud,2014-04-29,Active,OFF56596878,supervisor@corp.com,45
ADJ27521286,EMP92776406,Adj13,Smith,adjuster13@corp.com,555-1694,LIC41170877,TX,Property,2012-11-30,Active,OFF32222638,supervisor@corp.com,61
ADJ83205154,EMP39519942,Adj14,Smith,adjuster14@corp.com,555-8482,LIC12617041,FL,Auto,2012-08-21,Inactive,OFF20018181,supervisor@corp.com,96
ADJ33292777,EMP88718184,Adj15,Smith,adjuster15@corp.com,555-9956,LIC03223075,IL,Property,2020-01-18,Active,OFF91579108,supervisor@corp.com,47
ADJ23904060,EMP42940100,Adj16,Smith,adjuster16@corp.com,555-3517,LIC90828713,IL,Property,2018-08-01,Active,OFF76953816,supervisor@corp.com,31
ADJ57246724,EMP04508501,Adj17,Smith,adjuster17@corp.com,555-9979,LIC56193558,WA,Fraud,2023-09-01,Inactive,OFF57574344,supervisor@corp.com,72
ADJ90399865,EMP70616544,Adj18,Smith,adjuster18@corp.com,555-8786,LIC90515781,MA,Property,2018-02-08,Inactive,OFF90756160,supervisor@corp.com,98
ADJ71256474,EMP30755710,Adj19,Smith,adjuster19@corp.com,555-9286,LIC59200677,WA,Fraud,2014-02-20,Inactive,OFF46060054,supervisor@corp.com,34
ADJ10738289,EMP68246125,Adj20,Smith,adjuster20@corp.com,555-3666,LIC98274010,CA,Auto,2014-06-15,Active,OFF49149773,supervisor@corp.com,74
ADJ75509475,EMP64884647,Adj21,Smith,adjuster21@corp.com,555-4052,LIC44668219,TX,Auto,2012-06-25,Inactive,OFF39990184,supervisor@corp.com,56
ADJ77675737,EMP53790799,Adj22,Smith,adjuster22@corp.com,555-4088,LIC95380208,FL,Fraud,2011-09-28,Active,OFF70094556,supervisor@corp.com,34
ADJ73582684,EMP23209175,Adj23,Smith,adjuster23@corp.com,555-6495,LIC00787813,MA,Property,2015-11-15,Inactive,OFF52022351,supervisor@corp.com,42
ADJ40659991,EMP54278585,Adj24,Smith,adjuster24@corp.com,555-1383,LIC96482483,NY,Fraud,2010-02-17,Active,OFF34998885,supervisor@corp.com,83
ADJ93827553,EMP08689802,Adj25,Smith,adjuster25@corp.com,555-8943,LIC30312079,WA,Fraud,2006-08-21,Inactive,OFF47514696,supervisor@corp.com,78
ADJ16483578,EMP30685733,Adj26,Smith,adjuster26@corp.com,555-5237,LIC74125181,MA,Auto,2021-04-13,Active,OFF26281256,supervisor@corp.com,12
ADJ36275158,EMP77464317,Adj27,Smith,adjuster27@corp.com,555-9155,LIC46877730,CA,Auto,2009-06-24,Active,OFF64766168,supervisor@corp.com,11
ADJ82990138,EMP56685213,Adj28,Smith,adjuster28@corp.com,555-8111,LIC49285430,NY,Property,2022-05-07,Active,OFF87579196,supervisor@corp.com,10
ADJ97150518,EMP31389883,Adj29,Smith,adjuster29@corp.com,555-8942,LIC05818769,IL,Fraud,2006-08-12,Active,OFF05117940,supervisor@corp.com,42
ADJ27762347,EMP00415455,Adj30,Smith,adjuster30@corp.com,555-6416,LIC11446530,IL,Fraud,2011-12-30,Inactive,OFF36352855,supervisor@corp.com,48
ADJ65415100,EMP02256075,Adj31,Smith,adjuster31@corp.com,555-2149,LIC34155511,FL,Auto,2013-10-17,Active,OFF59838891,supervisor@corp.com,75
ADJ42380544,EMP67909029,Adj32,Smith,adjuster32@corp.com,555-7088,LIC39869504,TX,Fraud,2021-05-21,Inactive,OFF49430753,supervisor@corp.com,26
ADJ58491942,EMP44190469,Adj33,Smith,adjuster33@corp.com,555-5068,LIC28463086,MA,Property,2004-08-06,Inactive,OFF61360868,supervisor@corp.com,91
ADJ11893776,EMP40574754,Adj34,Smith,adjuster34@corp.com,555-3695,LIC77270198,NY,Property,2024-09-02,Active,OFF03794450,supervisor@corp.com,34
ADJ28462132,EMP87530446,Adj35,Smith,adjuster35@corp.com,555-5016,LIC52145198,WA,Property,2019-07-06,Active,OFF95369693,supervisor@corp.com,86
ADJ50225176,EMP03769228,Adj36,Smith,adjuster36@corp.com,555-3930,LIC05037345,WA,Property,2019-09-25,Active,OFF10082977,supervisor@corp.com,64
ADJ18968429,EMP09555396,Adj37,Smith,adjuster37@corp.com,555-7191,LIC50950122,WA,Auto,2007-03-26,Active,OFF36661450,supervisor@corp.com,90
ADJ43245517,EMP19307745,Adj38,Smith,adjuster38@corp.com,555-8620,LIC26010174,CA,Property,2019-02-09,Inactive,OFF64307623,supervisor@corp.com,31
ADJ26176265,EMP29556829,Adj39,Smith,adjuster39@corp.com,555-8005,LIC11141087,MA,Property,2001-04-14,Active,OFF27659052,supervisor@corp.com,68
