policyholder_id,policyholder_number,full_name,policyholder_type,email,phone,address,city,state,zip_code,date_of_birth,risk_score
PH59311856,PN83904773,Customer 0,Business,user0@example.com,555-6150,905 Oak St,San Jose,TX,75001,1999-09-23,411
PH24957526,PN51218976,Customer 1,Business,user1@example.com,555-8276,203 Oak St,Miami,IL,75531,2006-02-08,550
PH72280820,PN87191074,Customer 2,Business,user2@example.com,555-9123,581 Oak St,Miami,NY,77642,1995-04-26,767
PH73204038,PN14284481,Customer 3,Individual,user3@example.com,555-5486,707 Oak St,Austin,NY,76154,1974-08-26,399
PH17624890,PN29032210,Customer 4,Individual,user4@example.com,555-5900,438 Oak St,Dallas,WA,76610,1959-05-20,479
PH82880679,PN90447549,Customer 5,Business,user5@example.com,555-9996,904 Oak St,Miami,NY,79790,2022-11-21,651
PH99065870,PN76517899,Customer 6,Business,user6@example.com,555-3677,896 Oak St,Seattle,FL,78451,2024-03-04,398
PH96808496,PN87449458,Customer 7,Individual,user7@example.com,555-6827,139 Oak St,Boston,TX,75971,1986-07-07,665
PH60055904,PN35766679,Customer 8,Business,user8@example.com,555-9641,826 Oak St,Dallas,TX,76644,1975-09-16,737
PH73249505,PN54491626,Customer 9,Business,user9@example.com,555-9620,323 Oak St,Chicago,IL,75522,1972-08-30,558
PH05908589,PN70849883,Customer 10,Individual,user10@example.com,555-3138,318 Oak St,Boston,CA,76790,1969-01-21,451
PH09544994,PN77026238,Customer 11,Business,user11@example.com,555-6385,761 Oak St,Dallas,IL,78512,1953-07-08,397
PH55189394,PN81650616,Customer 12,Individual,user12@example.com,555-6103,292 Oak St,Chicago,MA,78619,1994-07-26,349
PH12510904,PN84765701,Customer 13,Individual,user13@example.com,555-8971,533 Oak St,Chicago,TX,79618,2004-06-19,605
PH01270352,PN30541956,Customer 14,Individual,user14@example.com,555-3385,493 Oak St,Miami,MA,77224,2000-08-08,666
PH78278959,PN64402077,Customer 15,Individual,user15@example.com,555-5570,818 Oak St,Austin,FL,79319,2023-07-06,796
PH80388482,PN94877177,Customer 16,Individual,user16@example.com,555-5564,152 Oak St,Austin,MA,75565,1970-09-01,756
PH24096892,PN22864470,Customer 17,Business,user17@example.com,555-3789,614 Oak St,Seattle,WA,77581,1973-07-01,595
PH08258965,PN32856998,Customer 18,Individual,user18@example.com,555-5538,686 Oak St,San Jose,IL,77748,1973-05-11,444
PH50532163,PN86783565,Customer 19,Business,user19@example.com,555-8600,239 Oak St,Seattle,TX,77315,2021-11-27,387
PH92333406,PN18240604,Customer 20,Individual,user20@example.com,555-4325,992 Oak St,Chicago,MA,78178,2010-12-02,752
PH67184102,PN74655624,Customer 21,Business,user21@example.com,555-4994,940 Oak St,Chicago,MA,79600,1976-03-22,468
PH92585800,PN11637404,Customer 22,Individual,user22@example.com,555-4468,535 Oak St,Chicago,TX,76103,2000-12-16,878
PH60787283,PN30795256,Customer 23,Business,user23@example.com,555-4169,389 Oak St,Austin,FL,75264,2019-11-22,748
PH77454663,PN62129130,Customer 24,Individual,user24@example.com,555-7875,682 Oak St,Austin,MA,75798,1984-09-11,721
PH28482925,PN66138724,Customer 25,Business,user25@example.com,555-4546,998 Oak St,Chicago,TX,75997,1964-03-13,400
PH11516563,PN02142148,Customer 26,Individual,user26@example.com,555-1544,355 Oak St,Austin,FL,79577,1994-12-30,514
PH61426621,PN36993946,Customer 27,Individual,user27@example.com,555-4850,656 Oak St,Chicago,NY,79198,2016-05-15,852
PH29400695,PN26603770,Customer 28,Individual,user28@example.com,555-5035,539 Oak St,Dallas,MA,76027,1963-08-23,634
PH93572555,PN93148390,Customer 29,Business,user29@example.com,555-2891,715 Oak St,Chicago,WA,76774,1994-01-10,838
PH53321746,PN29736977,Customer 30,Individual,user30@example.com,555-4150,711 Oak St,Boston,NY,79309,2007-03-06,419
PH19546360,PN62042100,Customer 31,Business,user31@example.com,555-9183,618 Oak St,Miami,IL,77939,1991-04-03,615
PH30278578,PN28879168,Customer 32,Individual,user32@example.com,555-6806,140 Oak St,Boston,FL,78255,1997-02-10,583
PH29608758,PN89542143,Customer 33,Individual,user33@example.com,555-5478,791 Oak St,Boston,TX,75687,2012-12-08,794
PH75304472,PN60135370,Customer 34,Business,user34@example.com,555-6669,372 Oak St,Boston,FL,78472,1958-06-20,759
PH67772990,PN88707910,Customer 35,Business,user35@example.com,555-9086,687 Oak St,Dallas,TX,79733,1990-12-09,667
PH05800849,PN00541460,Customer 36,Individual,user36@example.com,555-4822,815 Oak St,Seattle,FL,77444,2020-05-14,684
PH62535974,PN14557935,Customer 37,Individual,user37@example.com,555-9897,275 Oak St,San Jose,WA,78371,1977-05-30,721
PH89494276,PN84567122,Customer 38,Business,user38@example.com,555-5115,994 Oak St,Austin,WA,75382,1964-04-16,534
PH24808463,PN41692166,Customer 39,Individual,user39@example.com,555-1613,119 Oak St,Miami,CA,75928,1998-09-26,700
PH74027253,PN80375988,Customer 40,Individual,user40@example.com,555-2261,540 Oak St,Dallas,IL,78887,2000-07-06,312
PH33078079,PN24470857,Customer 41,Business,user41@example.com,555-3682,355 Oak St,Dallas,IL,76279,2007-03-30,569
PH19841006,PN83379453,Customer 42,Individual,user42@example.com,555-9814,952 Oak St,San Jose,IL,79536,2025-01-07,715
PH56329743,PN93157048,Customer 43,Business,user43@example.com,555-1277,406 Oak St,Miami,NY,77966,2010-01-14,831
